Contrato,Objeto,tipo_obra,Endereco,Bairro,inicio,Fim,unidade_gestora,Aditivo,Tipo_contrato,CNPJ,Empresa,orgao_solicitante,modalidade_licitacao,licitacao,processo,Prazo,prazo_dias,Valor
029/2025SEMINF,"cláusula primeira - o presente instrumento objetiva incluir e alterar dados na cláusula sexta do contrato, conforme os elementos constantes do processo administrativo nº 401483/2024. . os serviços a que se refere o presente contrato serão executados sob a direção e responsabilidade técnica da engenheira civil, cristiana calvet kallenbach c. aurenção, inscrita no crea-rj sob o nº 1986101053.",Outros,,,2025-08-09T00:00:00Z,2026-07-03T00:00:00Z,Prefeitura Municipal de Macaé,2º Termo de Apostilamento,Obras e Serviços de Engenharia,40.571.167/0001-27,Rh Serviços E Empreendimentos Ltda,Secretaria Municipal De Saúde,Concorrência Eletrônica,016/2025SEMINF,401483/2024,180 DIAS,180,194664.55
028/2025SEMINF,"cláusula primeira - o presente instrumento objetiva incluir e alterar dados na cláusula terceira do contrato, conforme os elementos constantes do processo administrativo nº 404157/2023 leia-se: as despesas oriundas deste contrato correrão por conta dos recursos orçamentários consignados ao município, programa de trabalho nº 103020009.2.254 e elemento de despesa nº 33.90.39.00.00 ?outros serviços de terceiros ? pe e, nota de empenho nº 001524/2025, emitida em 26/09/2025, vigente para o exercício de 2025",Outros,,,2025-08-09T00:00:00Z,2026-06-04T00:00:00Z,Prefeitura Municipal de Macaé,1º Termo de Apostilamento,Obras e Serviços de Engenharia,40.571167/0001-27,R H Serviços E Empreendimentos Ltda,Secretaria Municipal De Saúde,Concorrência Eletrônica,017/2025SEMINF,404157/2023,210 DIAS,210,228381.39
028/2025SEMINF,"cláusula primeira - o presente instrumento objetiva incluir e alterar dados na cláusula sexta do contrato, conforme os elementos constantes do processo administrativo nº 404157/2023 os serviços a que se refere o presente contrato serão executados sob a direção e responsabilidade técnica da engenheira civil, cristiana calvet kallenbach c. aurenção, inscrita no crea-rj sob o nº 1986101053.",Outros,,,2025-08-09T00:00:00Z,2026-06-04T00:00:00Z,Prefeitura Municipal de Macaé,2º Termo de Apostilamento,Obras e Serviços de Engenharia,40751167/0001-27,R H Serviços E Empreendimentos Ltda,Secretaria Municipal De Saúde,Concorrência Eletrônica,017/2025SEMINF,404157/2023,210 DIAS,210,228381.39
027/2025SEMINF,"contratação de empresa especializada em construção civil para execução da obra de reforma do caps iii, localizado na rua conde de araruama, bairro centro, macaé/rj, com fornecimento de mão de obra, materiais e equipamentos necessários",Reforma,Rua conde de araruama,Centro,2025-08-21T00:00:00Z,2026-06-16T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,33157408/0001-20,Santos E Costa  Engenahria Ltda,Secretaria Municipal De Saúde,Concorrência Pública,007/2025SEMINF,76394/2023,300 DIAS,300,1603242.3
027/2025SEMINF,"cláusula primeira - o presente instrumento objetiva incluir e alterar dados na cláusula terceira do contrato, conforme os elementos constantes do processo administrativo nº 76.394/2023",Outros,,,2025-08-21T00:00:00Z,2026-06-16T00:00:00Z,Prefeitura Municipal de Macaé,1º Termo de Apostilamento,Obras e Serviços de Engenharia,33.157.408/0001-20,Santos E Costa  Engenahria Ltda,Secretaria Municipal De Saúde,Concorrência Eletrônica,007/2025SEMINF,76394/2023,300 DIAS,300,1603242.3
026/2025SEMINF,"cláusula primeira - o presente instrumento objetiva incluir e alterar dados no preâmbulo do contrato, conforme os elementos constantes do processo administrativo nº 600402/2025",Outros,,,2025-08-21T00:00:00Z,2026-08-21T00:00:00Z,Prefeitura Municipal de Macaé,1º Termo de Apostilamento,Obras e Serviços de Engenharia,62.446.878/0001-02,Macaé  Eficiência  Energética  Spe  Ltda,Secretaria Municipal De Educação,Pregão Eletrônico,021/2024CONLEST,600402/2025,01 ANO,1,3.678804043E7
026/2025SEMINF,"cláusula primeira - o presente instrumento objetiva alterar dados na cláusula terceira do contrato, conforme os elementos constantes do processo administrativo nº 600402/2025, leia-se: as despesas oriundas deste contrato correrão por conta dos recursos orçamentários consignados ao município, programas de trabalho nºs 123610079.2.173 e 123650021.2.215 , elemento de despesa nº 44.90.39.00.00 ? outros serviços de terceiros -pe, notas de empenhos nºs 002662/2025, 002663/2025, e 002664/2025, emitidas em 23/10/2025, vigente para o exercício de 2025",Outros,,,2025-08-21T00:00:00Z,2026-08-21T00:00:00Z,Prefeitura Municipal de Macaé,2º Termo de Apostilamento,Obras e Serviços de Engenharia,62446878/0001-02,Macaé  Eficiência  Energética  Spe  Ltda,Secretaria Municipal De Educação,Pregão Eletrônico,021/2024CONLEST,600402/2025,1 ANO,1,3.678804043E7
026/2025SEMINF,"contratação de empresa especializada para implantação de usina fotovoltaica projeto executivo e laudos fornecidos de equipamento e materiais com mão de obra especailizada, serviço e adequação da parte elétrica até o padrão de energia, para atender às necessidades da secretaria municipal de educação.",Outros,,,2025-08-21T00:00:00Z,2026-08-21T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,57.709.864/0001-02,Consórcio Ips Conleste Ltda,Secretaria Municipal De Educação,Pregão Eletrônico,021/2024CONLEST,600402/2025,01 ANO,1,3.678804043E7
024/2025SEMINF,"contratação de empresa especializada em engenharia elétrica para manutenção preventiva, corretiva e adequações de bens imóveis, equipamentos e componentes auxiliares relacionados às subestações elétricas pertencentes ou sob-responsabilidade jurídica do município de macaé - rj, com fornecimento de mão de obra especializada, materiais e equipamentos, para atender às necessidades da secretaria municipal adjunta de serviços públicos,",Outros,,,2025-07-24T00:00:00Z,2026-07-24T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,10471095/0001-85,Engecorp Manutenção E Serviços Ltda,Secretaria Executiva De Serviços Públicos,Concorrência Pública,009/2025SEMINF,33843/2024,01 ANO,1,5161661.83
023/2025SEMINF,"contratação de empresa especializada em construção civil para execução de sistema de iluminação pública no trecho entre a estrada de santa teresa rj 168 e o condominio laranjeiras, localizados em macaé/rj, com fornecimento de materiais, equipamentos e mão de obra",Construção,Estrada de santa teresa rj 168 e o condominio laranjeiras,,2025-07-21T00:00:00Z,2026-02-16T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,09388615/0001-01,Alper Energia Ltda,Secretaria Municipal De Infraestrutura,Concorrência Pública,015/2025SEMINF,75379/2024,210 DIAS,210,806283.99
