Contrato,Objeto,tipo_obra,Endereco,Bairro,inicio,Fim,unidade_gestora,Aditivo,Tipo_contrato,CNPJ,Empresa,orgao_solicitante,modalidade_licitacao,licitacao,processo,Prazo,prazo_dias,Valor
013/2024SEMINF,"cláusula primeira: o presente 2º termo de apostilamento tem por objeto o reajuste dos preços referente à 2ª (segunda) periodicidade no período de maio/2024 a maio/2025, do contrato administrativo nº 013/2024- seminf, pela construção de quadra coberta, vestiário, academia e complementação das instalações do ginásio poliesportivo de macaé, localizado à avenida evaldo costa s/nº - bairro sol y mar, com fornecimento de materiais, mão de obra e equipamentos necessários.",Construção,Avenida evaldo costa s/nº - bairro sol y mar,Sol Y Mar,2025-07-30T00:00:00Z,2026-01-26T00:00:00Z,Prefeitura Municipal de Macaé,2º Termo de Apostilamento,Obras e Serviços de Engenharia,01309292/0001-01,Sercon  Construções Ltda,Secretaria Executiva De Obras,Concorrência Pública,004/2023SEMINF,76867/2024,12 MESES,12,97046.89
013/2024SEMINF,"o presente 1º termo de apostilamento tem por objeto o reajuste dos preços referente à 1ª (primeira) periodicidade no período de maio/2023 a maio/2024, do contrato administrativo nº 013/2024- seminf, pela construção de quadra coberta, vestiário, academia e complementação das instalações do ginásio poliesportivo de macaé, localizado à avenida evaldo costa s/nº - bairro sol y mar, com fornecimento de materiais, mão de obra e equipamentos necessários.",Construção,Avenida evaldo costa s/nº - bairro sol y mar,Sol Y Mar,2025-07-30T00:00:00Z,2026-01-26T00:00:00Z,Prefeitura Municipal de Macaé,1º Termo de Apostilamento,Obras e Serviços de Engenharia,"1,30929E+12",Sercon  Construções Ltda,Secretaria Executiva De Obras,Concorrência Pública,004/2023SEMINF,76867/2024,,,409047.34
013/2024SEMINF,"constitui objeto do presente instrumento a alteração do valor inicial do contrato nº 013/2024-seminf, referente à construção de quadra coberta, vestiário, academia e complementação das instalações do ginásio poliesportivo de macaé, localizado à avenida evaldo costa s/nº - bairro sol y mar, com fornecimento de materiais, mão de obra e equipamentos necessários",Construção,Avenida evaldo costa s/nº - bairro sol y mar,Sol Y Mar,2025-07-30T00:00:00Z,2026-01-26T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,01309292/0001-01,Sercon  Construções Ltda,Secretaria Executiva De Obras,Concorrência Pública,004/2023SEMINF,75331/2023,,,4191350.94
011/2024SEMINF,"constitui objeto do presente instrumento a prorrogação de 90 (noventa) dias de prazo contratual, e 90 (noventa) dias de execução de obras, bem como, o acréscimo no valor do contrato nº 011/2024-seminf, referente à contratação de empresa especializada em construção civil para construção da base da secretaria municipal de ambiente e sustentabilidade no sana, localizada na estrada peito do pombo, lote s/n, sana (6º distrito), macaé/rj, com fornecimento de mão de obra, materiais e equipamentos necessários.",Construção,Estrada peito do pombo,,2025-11-16T00:00:00Z,2026-02-13T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,29159914/0001-81,C R Nogueira Construçõees E Montagens Ltda,"Secretaria Municipal De Ambiente, Sustentabilidade E Clima",Concorrência Pública,036/2023SEMINF,75428/2023,90 DIAS,90,102452.8
009/2024SEMINF,"constitui objeto do presente instrumento a prorrogação de 180 (cento e oitenta) dias de prazo contratual, e 120 (cento e vinte dias de execução de serviços, bem como, o acréscimo no valor do contrato nº 009/2024-seminf, relativo à contratação de empresa especializada para construção de escola padrão infantil, localizada na rua zumbi dos palmares, parque aeroporto, macaé/rj, com fornecimento de mão de obra, materiais e equipamentos necessários,.",Educação,Rua zumbi dos palmares,,2025-05-07T00:00:00Z,2026-01-01T00:00:00Z,Prefeitura Municipal de Macaé,1º Aditivo,Obras e Serviços de Engenharia,08.298.136/0001-31,Rmfk Construções E Projetos Ltda,Secretaria Municipal De Educação,Concorrência Pública,031/2023SEMINF,75426/2023,180 DIAS,180,1509784.7
006/2024SEMINF,"constitui objeto do presente instrumento a prorrogação do prazo de vigência do contrato nº 006/2024-seminf, referente à contratação de empresa especializada em elaboração de projeto de urbanização de assentamento precário na localidade ilha colônia leocádia, no bairro malvinas, macaé-rj.",Outros,,Malvinas,2025-10-21T00:00:00Z,2026-04-19T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,54.013.681/0001-51,Consórcio  Engebio Urbanização  E  Projetos,Secretaria Municipal De Infraestrutura,Concorrência Pública,026/2023SEMINF,75683/2021,180 DIAS,180,4350706.36
004/2024SEMINF,"constitui objeto do presente instrumento a prorrogação do prazo de vigência do contrato nº 004/2024-seminf, referente à contratação de empresa especializada para elaboração de projetos hospitalares para reforma e ampliação - hpm e hpmih - macaé-rj,",Reforma,,,2025-11-10T00:00:00Z,2026-08-06T00:00:00Z,Prefeitura Municipal de Macaé,3º Aditivo,Obras e Serviços de Engenharia,06164906/0001-28,Mep Arquitetura E Planejamento Ltda,Secretaria Municipal De Saúde,Concorrência Pública,020/2023SEMINF,76375/2022,240 DIAS,240,1866722.08
004/2024SEMINF,"constitui objeto do presente instrumento a prorrogação de 180 (cento e oitenta) dias de prazo contratual, e 180 (cento e oitenta) dias de execução de obras, bem como, o acréscimo no valor do contrato nº 004/2024-seminf, relativo à contratação de empresa especializada para elaboração de projetos hospitalares para reforma e ampliação - hpm e hpmih - macaé-rj.",Reforma,,,2025-04-14T00:00:00Z,2025-10-10T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,06164906/0001-28,Mep Arquitetura E Planegjamento Ltda,Secretaria Municipal De Saúde,Concorrência Pública,020/2023SEMINF,76375/2022,180 DIAS,180,1866722.08
062/2023SEMINF,"constitui objeto do presente instrumento a prorrogação do prazo de vigência do contrato nº 062/2023-seminf, referente à contratação de empresa especializada em serviços de engenharia visando a manutenção ostensiva (preventiva e corretiva) e adequação dos sistemas de purificação da produção de água potável dos sistemas simplificados, convencionais e das demais redes cadastradas na secretaria municipal adjunta de saneamento.",Saneamento,,,2025-01-12T00:00:00Z,2026-11-30T00:00:00Z,Prefeitura Municipal de Macaé,3º Aditivo,Obras e Serviços de Engenharia,16.782.207/0001-03,Llc Comércio E Empreendimentos Ltda,Secretaria Executiva De Saneamento,Concorrência Pública,028/2023SEMINF,21809/2023,12 MESES,12,6543320.34
061/2023SEMINF,"constitui objeto do presente instrumento a prorrogação de 180 (cento e oitenta) dias de prazo contratual, e 180 (cento e oitenta) dias de execução de obras, bem como, o acréscimo no valor do contrato nº 061/2023-seminf, referente à contratação de empresa especializada para construção de escola padrão infantil, muro de contenção e do prolongamento das ruas 1 e 2, sendo a edificação a ser construída localizada no prolongamento da rua 2, na localidade do trapiche (glicério ? 4º distrito), macaé- rj, com fornecimento de mão de obra, materias e equipamentos.",Educação,Rua 2,Prolongamento Da Rua 2,2025-09-21T00:00:00Z,2026-03-20T00:00:00Z,Prefeitura Municipal de Macaé,1º Aditivo,Obras e Serviços de Engenharia,08648020/0001-85,Ppe Construção Civil Ltda,Secretaria Municipal De Educação,Concorrência Pública,023/2023SEMINF,2035/2022,180 DIAS,180,329537.98
059/2023SEMINF,"o presente 1º termo de apostilamento tem por objeto o reajuste dos preços referente à 1ª (primeira) periodicidade no período de setembro/2023 a setembro /2024, do contrato administrativo nº 059/2023- seminf, pela contratação de empresa especializada em construção civil para reforma e ampliação da base operacional do parque nacional da restinga de jurubatiba, macaé/rj, com fornecimento de mão de obra, materiais e equipamentos.",Reforma,,,2025-04-03T00:00:00Z,2025-01-08T00:00:00Z,Prefeitura Municipal de Macaé,1º Termo de Apostilamento,Obras e Serviços de Engenharia,08.648.020/0001-85,Ppe Construção Civil Ltda,Secretaria Executiva De Obras,Concorrência Pública,021/2023SEMINF,75.453/2025,,,101804.0
059/2023SEMINF,"constitui objeto do presente instrumento a prorrogação de 150 (cento e cinquenta) dias de execução de obra, e 150 (cento e cinquenta) dias de prazo contratual, bem como, o acréscimo no valor do contrato nº 059/2023-seminf,relativo à contratação de empresa especializada em construção civil para reforma e ampliação da base operacional do parque nacional da restinga de jurubatiba, macaé/rj, com fornecimento de mão de obra, materiais e equipamentos.",Reforma,,,2025-07-31T00:00:00Z,2025-12-27T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,08648020/0001-85,Ppe Construção Civil Ltda,Secretaria Executiva De Obras,Concorrência Pública,021/2023SEMINF,75429/2023,150 DIAS,150,93340.81
059/2023SEMINF,"constitui objeto do presente instrumento a prorrogação de 150 (cento e cinquenta) dias de execução de obra, e 150 (cento e cinquenta) dias de prazo contratual, bem como, o acréscimo no valor do contrato nº 059/2023-seminf, relativo à contratação de empresa especializada em construção civil para reforma e ampliação da base operacional do parque nacional da restinga de jurubatiba, macaé/rj, com fornecimento de mão de obra, materiais e equipamentos.",Reforma,,,2025-03-03T00:00:00Z,2025-07-30T00:00:00Z,Prefeitura Municipal de Macaé,1º Aditivo,Obras e Serviços de Engenharia,08.648.020/0001-85,Ppe Construção Civil Ltda,Secretaria Municipal Adjunta De Obras,Concorrência Pública,021/2023SEMINF,75429/2023,150 DIAS,150,837933.75
045/2023SEMINF,"constitui objeto do presente instrumento a prorrogação de 150 (cento e cinquenta) dias de vigência contratual, e 120 (cento e vinte) dias de execução de obras, bem como, a alteração (supressão) do valor do contrato nº 045/2023-seminf, relativo à contratação de empresa especializada em construção civil para construção de praça, quadra poliesportiva e cras (centro de referência da assistência social) localizados à avenida marechal rondom 390, bairro miramar. macaé/rj, com fornecimento de materiais, equipamentos e mão de obra.",Urbanização,Avenida marechal rondom 390,Miramar Macaé,2025-09-18T00:00:00Z,2026-02-15T00:00:00Z,Prefeitura Municipal de Macaé,3º Aditivo,Obras e Serviços de Engenharia,51.572.775/0001-72,Consórcio Construtech E Ello Soluções,Secretaria Executiva De Obras,Concorrência Pública,009/2023SEMINF,76403/2022,150 DIAS,150,29501.83
045/2023SEMINF,"constitui objeto do presente instrumento a prorrogação de 120 (cento e vinte) dias de execução de obra, e 120 (cento e vinte) dias de prazo contratual,a prorrogação do contrato nº 045/2023-seminf, relativo à contratação de empresa especializada em construção civil para construção de praça, quadra poliesportiva e cras (centro de referência da assistência social) localizados à avenida marechal rondom 390, bairro miramar. macaé/rj, com fornecimento de materiais, equipamentos e mão de obra.",Urbanização,Avenida marechal rondom 390,Miramar Macaé,2025-05-21T00:00:00Z,2025-09-17T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,51572775/0001-72,Consórcio Construtech E Ello Soluções,Secretaria Executiva De Obras,Concorrência Pública,009/2023SEMINF,76403/2022,120 DIAS,120,1440650.01
042/2023SEMINF,"constitui objeto do presente instrumento a prorrogação de 12 (doze) meses de prazo contratual, bem como, a supressão no valor do contrato nº 042/2023 seminf, referente à contratação de empresa especializada para execução e manutenção da sinalização horizontal nas vias, ciclovias e ciclofaixas do município de macaé, de acordo com programação sistemática estabelecida pela secretaria municipal de mobilidade urbana, com fornecimento de mão de obra, materiais e equipamentos, conforme condições, quantidades e exigências estabelecidas neste projeto básico e em consonância ao disposto no edital, para atender às necessidades da secretaria municipal de mobilidade urbana.",Outros,,,2025-07-20T00:00:00Z,2026-07-19T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,09331341/0001-14,Galvão Transporte E Serviços Eireli,Secretaria Municipal De Mobilidade Urbana,Concorrência Pública,015/2020,260440/2022,12 MESES,12,1272018.94
040/2023SEMINF,"constitui objeto do presente instrumento a prorrogação do prazo de vigência do contrato nº 040/2023 seminf, referente à contratação de empresa especializada em contrução civil para manutenção dos imóveis sob gestão da secretaria municipal de saúde e fundo municipal de saúde do município de macaé ? rj (unidades de estratégia de saúde da família, unidades administrativas, unidades básicas de saúde, policlínicas, núcleos, polos, centro de especialidades, programas, casa da convivência - espaço de convivência e cultura, saúde mental, vigilância em saúde e centro de especialidades odontológicas ? ceo), com fornecimento de mão de obra, materiais e equipamentos.",Outros,,,2025-07-07T00:00:00Z,2026-06-07T00:00:00Z,Prefeitura Municipal de Macaé,3º Aditivo,Obras e Serviços de Engenharia,10471095/0001-85,Engecorp Manutenção E Serviços Ltda,Secretaria Municipal De Saúde,Concorrência Pública,013/2023SEMINF,401499/2025,12 MESES,12,2.571541977E7
039/2023SEMINF,"constitui objeto do presente instrumento a prorrogação do prazo de vigência do contrato nº 039/2023-seminf, relativo à contratação de empresa especializada em construção civil para manutenção predial preventiva, corretiva e preditiva dos predios públicos utilizados pela secretaria municipal de cultura (criasana, biblioteca télio barreto, polo de cultura da fronteira, centro cultural, solar dos mellos, biblioteca henriqueta marotti glicério e polo cultural da serra) em macaé/rj.",Construção,,,2025-06-07T00:00:00Z,2026-05-07T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,51232431/0001-14,Consórcio M. Alves Litoral,Secretaria Municipal De Cultura,Concorrência Pública,005/2023SEMINF,37128/2022,12 MESES,12,7006898.87
038/2023SEMINF,"constitui objeto do presente instrumento a prorrogação de 12 (doze) meses de prazo contratual, bem como, o acréscimo no valor do contrato nº 038/2023-seminf, relativo à contratação de empresa especializada para recuperação, reparo, manutenção e desobistrução de redes de drenagem pluvial, visando atender as necessidades da secretaria municipal adjunta de serviços públicos.",Drenagem,,,2025-06-24T00:00:00Z,2026-06-23T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,12089051/0001-10,Conserma  Engenharia Ltda,Secretaria Executiva De Serviços Públicos,Concorrência Pública,009/2022SEMINF,11654/2023,12 MESES,12,1.606277406E7
037/2023SEMINF,"constitui objeto do presente instrumento a prorrogação de 12 (doze) meses e vigência do contrato nº 037/2023-seminf, relativo à contratação de empresa especializada para execução de serviços de manutenção de equipamentos urbanos, para atendimento ao município de macaé/rj.",Outros,,,2025-06-23T00:00:00Z,2026-06-22T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,510651290001-19,Consórcio Urbaniza  Macaé,Secretaria Executiva De Obras,Concorrência Pública,011/2023SEMINF,75345/2023,12 MESES,12,3.101612813E7
035/2023SEMINF,"cláusula primeira: o presente 3º termo de apostilamento tem por objeto o reajuste dos preços referente à 1ª (primeira) periodicidade (abril/2023 a abril/2024) do contrato administrativo nº 035/2023 - seminf, pela contratação de empresa especializada em construção civil para reforma geral do centro de convenções de macaé, localizado à av. são josé barreto - parque aeroporto, macaé ? rj.",Reforma,,,2025-04-01T00:00:00Z,2025-03-05T00:00:00Z,Prefeitura Municipal de Macaé,3º Termo de Apostilamento,Obras e Serviços de Engenharia,50955161/0001-07,Consórcio Barreto,Secretaria Executiva De Obras,Concorrência Pública,014/2022SEMINF,76798/2024,,,1316686.95
032/2023SEMINF,"pela contratação de empresa especializada em construção civil para manutenção dos hospitais hpm, hpms e hospital irmãs do horto, com fornecimento de mão de obra, materiais e equipamentos .",Saúde,,,2025-07-27T00:00:00Z,2026-07-26T00:00:00Z,Prefeitura Municipal de Macaé,3º Termo de Apostilamento,Obras e Serviços de Engenharia,10.471.095/0001-85,Engecorp Manutenção E Serviços Ltda,Secretaria Municipal De Saúde,Concorrência Pública,012/2022SEMINF,402508/2025,,,666692.48
028/2023SEMINF,"constitui objeto do presente instrumento a prorrogação de 180 (cento e oitenta) dias de prazo contratual, e 180 (cento e oitenta) dias de execução de obras, bem como, o acréscimo no valor do contrato nº 028/2023-seminf, relativo à contratação de empresa especializada em construção civil para construção de escola padrão fundamental em terreno municipal localizado na ari de carvalho esquina com avenida grande otelo, s/n, ajuda de baixo, macaé-rj, com fornecimento de mão de obra, materiais e equipamentos",Educação,Avenida grande otelo,,2025-08-19T00:00:00Z,2026-02-15T00:00:00Z,Prefeitura Municipal de Macaé,1º Aditivo,Obras e Serviços de Engenharia,37079460/0001-67,New Construções E Serviços Ltda,Secretaria Municipal De Educação,Concorrência Pública,016/2022SEMIINF,19.566/2029,180 DIAS,180,2152659.49
026/2023SEMINF,"o presente 5º termo de apostilamento tem por objeto o reajuste dos preços referente à 2ª (segunda) periodicidade (outubro/2023 a outubrol/2024) do contrato administrativo nº 0262023 - seminf, pela contratação de empresa especializada em construção civil para execução de serviços de manutenção dos equipamentos do centro especializado de atendimento à mulher ? ceam , do restaurante popular da aroeira, do conselho tutelar i, ii e iii e de proteção social de média e alta complexidade da secretaria municipal de desenvolvimento social.",Construção,,,2025-01-04T00:00:00Z,2026-03-31T00:00:00Z,Prefeitura Municipal de Macaé,5º Termo de Apostilamento,Obras e Serviços de Engenharia,42.822.589/0001-53,Consórcio Pfill Construção Civil,"Secretaria Municipal De Desenvolvimento Social, Direitos Humanos, Acessibilidade E Economia Solidária",Concorrência Pública,024/2022SEMINF,76047/2024,12 MESES,12,75571.55
026/2023SEMINF,"o presente instrumento objetiva alterar dados no preâmbulo e na cláusula primeira do contrato, conforme os elementos constantes do processo administrativo nº75399/2026 apensado ao 75.345/2021:",Outros,,,2025-01-04T00:00:00Z,2026-03-31T00:00:00Z,Prefeitura Municipal de Macaé,7º Termo de Apostilamento,Obras e Serviços de Engenharia,42.822.589/0001-53,Consórcio Pfill Construção Civil,"Secretaria Municipal De Desenvolvimento Social, Direitos Humanos, Acessibilidade E Economia Solidária",Concorrência Pública,024/2022SEMINF,75399/2026,12 MESES,12,
026/2023SEMINF,"obriga-se a contratada a executar para o município de macaé, pelo regime de execução indireta empreitada por preço unitário, para contratação de empresa especializada em construção civil para execução de serviços de manutenção dos equipamentos do centro especializado de atendimento à mulher ? ceam, da secretaria municipal de politicas para as mulheres, e dos equipamentos de proteção social básica, de média e de alta complexidade, do restaurante popular da aroeira e dos conselhos tutelares i, ii, e iii, da secretaria municipal de desenvolvimento social.",Construção,,,2025-01-04T00:00:00Z,2026-03-31T00:00:00Z,Prefeitura Municipal de Macaé,6º Termo de Apostilamento,Obras e Serviços de Engenharia,42.822.589/0001-53,Consórcio Pfill Construção Civil,"Secretaria Municipal De Desenvolvimento Social, Direitos Humanos, Acessibilidade E Economia Solidária",Concorrência Pública,024/222SEMINF,75345/2021,12 MESES,12,
025/2023SEMINF,"cláusula primeira - o presente 1º (primeiiro) termo de apostilamento tem por objeto o reajuste dos preços referente à 1ª (primeira) periodicidade no período de março/2023 a março/2024, do contrato administrativo nº 025/2023- seminf, pela contratação de empresa especializada em construção civil para complementação da construção do colégio estadual carlos walter marinho campos, localizado à avenida w18, lote 221, quadra 20, bairro lagomar, macaé ? rj, com fornecimento de mão de obra, materiais e equipamentos.",Construção,Avenida w18,Lagomar,2025-03-29T00:00:00Z,2025-12-20T00:00:00Z,Prefeitura Municipal de Macaé,1º Termo de Apostilamento,Obras e Serviços de Engenharia,08.579.251/0001-84,Construtora M. Alves Ltda,Secretaria Municipal De Educação,Concorrência Pública,003/2023SEMINF,SEI-010274/2025,,,386913.41
025/2023SEMINF,"cláusula primeira - o presente 2º (segundo) termo de apostilamento tem por objeto o reajuste dos preços referente à 2ª (segunda) periodicidade no período de março/2024 a março/2025, do contrato administrativo nº 025/2023- seminf, pela contratação de empresa especializada em construção civil para complementação da construção do colégio estadual carlos walter marinho campos, localizado à avenida w18, lote 221, quadra 20, bairro lagomar, macaé ? rj, com fornecimento de mão de obra, materiais e equipamentos.",Construção,Avenida w18,Lagomar,2025-03-29T00:00:00Z,2025-12-20T00:00:00Z,Prefeitura Municipal de Macaé,2º Termo de Apostilamento,Obras e Serviços de Engenharia,08.579.251/0001-84,Construtora M. Alves Ltda,Secretaria Municipal De Educação,Concorrência Pública,003/2023SEMINF,SEI-010736/2025,,,109441.24
024/2023SEMINF,"constitui objeto do presente instrumento a prorrogação de 90 (noventa) dias de vigência do contrato nº 024/2023-seminf, relativo à contratação de empresa especializada em serviços de engenharia, visando a execução de reforma nas etes e etas, no municipio de macaé-rj, nas localidades de corrego do ouro, trapiche, glicério, sana, com fornecimento de materiais, mão de obra e equipamentos.",Reforma,,,2025-06-14T00:00:00Z,2025-12-09T00:00:00Z,Prefeitura Municipal de Macaé,3º Aditivo,Obras e Serviços de Engenharia,08579251/000184,Construtora M. Alves Ltda,Secretaria Executiva De Saneamento,Concorrência Pública,002/2023SEMINF,76049/2022,90 DIAS,90,
018/2023SEMINF,"constitui objeto do presente instrumento a prorrogação de 180 (cento e oitenta) dias de prazo contratual, e 180 (cento e oitenta) dias de execução de obras, bem como, o acréscimo no valor do contrato nº 018/2023-seminf, relativo à contratação de empresa especializada em construção civil para construção de escola padrão infantil em terreno municipal localizado na avenida grande otelo, s/n, bosque azul, ajuda de baixo, macaé-rj, com fornecimento de mão de obra, materiais e equipamentos.",Educação,Avenida grande otelo,,2025-06-23T00:00:00Z,2025-12-19T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,37079460/0001-67,New Construções E Serviços Ltda,Secretaria Municipal De Educação,Concorrência Pública,003/2022SEMINF,19.565/2019,180 DIAS,180,883284.77
012/2023SEMINF,"o presente instrumento objetiva incluir e alterar dados no preâmbulo do contrato, conforme os elementos constantes do processo administrativo nº 75.423/2022, ""preâmbulo : ? pelo presente termo aditivo ao contrato nº 012/2023 - seminf, que entre si celebram, município de macaé/rj, pessoa jurídica de direito público, inscrito no cnpj sob o nº sob o nº 29.115.474/0001-60, estabelecido na avenida presidente sodré nº 534, paço municipal, bairro centro, macaé/rj, neste ato representado pelo secretário municipal de infraestrutura, devidamente nomeado pela portaria n° 0679/2025, sr. santiago borges de almeida gomes, brasileiro, casado, servidor público municipal, portador da carteira de identidade n° 09967233 - 9, expedida pelo ifp/rj e inscrito no cpf/mf sob o nº 053.788.677-03, doravante denominada simplesmente contratante,, e, do outro lado, a empresa, viveiro campo lindo comércio e plantas ltda, inscrita no cnpj sob o nº 02.753.224/0001-08, com sede à rodovia mg",Outros,Avenida presidente sodré nº 534,Centro,2025-04-02T00:00:00Z,2026-03-02T00:00:00Z,Prefeitura Municipal de Macaé,1º Termo de Apostilamento,Obras e Serviços de Engenharia,02.753.224/0001-08,Viveiro Campo Lindo Comércio E Plantas Ltda,Secretaria Executiva De Serviços Públicos,Pregão Presencial,001/2022SEMINF,75423/2022,12 MESES,12,1.634387241E7
061/2023-SEMINF,"contratação de empresa especializada para construção de escola padrão infantil, muro de contenção e do prolongamento das ruas 1 e 2, sendo a edificação a ser construída localizada no prolongamento da rua 2, na localidade do trapiche (glicério ? 4º distrito), macaé- rj, com fornecimento de mão de obra, materias e equipamentos.",Educação,Rua 2,Prolongamento Da Rua 2,2025-09-21T00:00:00Z,2026-03-20T00:00:00Z,Prefeitura Municipal de Macaé,1º Aditivo,Obras e Serviços de Engenharia,08.648.020/0001-85,Ppe Construção Civil Ltda,Secretaria Municipal De Educação,Concorrência Pública,023/2023-SEMINF,2035/2022,180 DIAS,180,8328551.12
048/2023-SEMINF,"constitui objeto do presente instrumento a prorrogação do prazo de vigência do contrato nº 048/2023-seminf, referente à contratação de empresa especializada para execução de serviços de natureza contínua de recomposição de paralelos e intertravados danificados na cidade de macaé-rj, abrangendo todo o perímetro urbano, região serrana e distritos, com fornecimento e aplicação de materiais, mão de obra e equipamentos.",Outros,,,2025-08-24T00:00:00Z,2026-08-23T00:00:00Z,Prefeitura Municipal de Macaé,3º Aditivo,Obras e Serviços de Engenharia,51.639.780/0001-55,Consórcio Paralelo Macaé,Secretaria Executiva De Serviços Públicos,Concorrência Pública,012/2023SEMINF,75385/2022,12 MESES,12,1.710074953E7
n° 062/2023,"reajuste sobre o valor contratado para empresa especializada para restação de serviço de locação de equipamentos pesados (máquinas, caminhões e equipamentos), com motorista, combustível e manutenção inclusos, para atender os produtores rurais do município de macaé, através da secretaria municipal de agroeconomia, referente à 2ª periodicidade contratual (abril/2024 a março/2025)",Outros,,,2025-12-05T00:00:00Z,2026-11-05T00:00:00Z,Prefeitura Municipal de Macaé,1º Termo de Apostilamento,Obras e Serviços de Engenharia,02.976.782/0001-24,Macservices Locação De Veículos Eireli,Secretaria Municipal De Mobilidade Urbana,Pregão Eletrônico,030/2023,260009/2022,,,136069.2
045/2022SEMINF,"constitui objeto do presente instrumento a prorrogação do prazo de vigência do contrato nº 045/2022 seminf, referente à contratação de empresa especializada para execução de serviços de natureza contínua de recomposição de pavimentação asfáltica (tapa buraco) na cidade de macaé/rj,abrangendo todo o perímetro urbano, região serrana e distritos, com fornecimento e aplicação de materiais, mão de obra e equipamentos.",Pavimentação,,,2025-11-18T00:00:00Z,2026-11-17T00:00:00Z,Prefeitura Municipal de Macaé,3º Aditivo,Obras e Serviços de Engenharia,33.462.862/0001-95,São Marcos Terraplanagem E Construção Ltda,Secretaria Executiva De Serviços Públicos,Concorrência Pública,022/2022SEMINF,75378/2022,12 MESES,12,1.432519101E7
044/2022SEMINF,"constitui objeto do presente instrumento a prorrogação de 150 (cento e cinquenta) dias de vigência do contrato nº 044/2022-seminf, relativo à contratação de empresa especializada em serviços técnicos para conclusão da regularização urbanística e fundiária do núcleo urbano informal complexo da ajuda (zeis 02).",Outros,,,2025-06-27T00:00:00Z,2025-11-23T00:00:00Z,Prefeitura Municipal de Macaé,2º Aditivo,Obras e Serviços de Engenharia,04307683/0001-85,Geojá Mapas Digitais E Aerolevantamento Ltda,Secretaria Executiva De Habitação,Concorrência Pública,020/2022SEMINF,24333/2020,150 DIAS,150,3497864.08
043/2022SEMINF,"constitui objeto do presente instrumento a prorrogação do prazo de vigência do contrato nº 043/2022-seminf, referente à contratação de empresa especializada em construção civil para construção de blocos de gavetas, jazigos, ossário, drenagens e pavimentação no cemitério memorial da igualdade, macaé-rj, com fornecimento de mão de obra, materiais e equipamentos.",Pavimentação,,,2025-10-06T00:00:00Z,2025-07-09T00:00:00Z,Prefeitura Municipal de Macaé,3º Aditivo,Obras e Serviços de Engenharia,26116884/0001-38,Enge-campos Construções Eireli - Me,Secretaria Executiva De Serviços Públicos,Concorrência Pública,015/2020SEMINF,75347/2022,90 DIAS,90,4681917.55
032/2022SEMINF,"constitui objeto do presente instrumento a prorrogação do prazo de vigência do contrato nº 032/2022-seminf, referente à contratação de empresa especializada em construção civil para manutenção dos hospitais hpm, hpms e hospital irmãs do horto, com fornecimento de mão de obra, materiais e equipamentos .",Saúde,,,2025-07-27T00:00:00Z,2026-07-26T00:00:00Z,Prefeitura Municipal de Macaé,4º Aditivo,Obras e Serviços de Engenharia,"1,04711E+13",Engecorp Manutenção E Serviços Ltda,Secretaria Municipal De Saúde,Concorrência Pública,012/2022SEMINF,401972/2025,12 MESES,12,1.023836062E7
032/2022SEMINF,": o presente 3º termo de apostilamento tem por objeto o reajuste dos preços referente à 2ª (segunda) periodicidade (junho/2023 a janeiro/2025) do contrato administrativo nº 032/2022 - seminf, pela contratação de empresa especializada em construção civil para manutenção dos hospitais hpm, hpms e hospital irmãs do horto, com fornecimento de mão de obra, materiais e equipamentos .",Saúde,,,2025-07-27T00:00:00Z,2026-07-26T00:00:00Z,Prefeitura Municipal de Macaé,3º Termo de Apostilamento,Obras e Serviços de Engenharia,10471095/0001-85,Engecorp Manutenção E Serviços Ltda,Secretaria Municipal De Saúde,Concorrência Pública,012/2022SEMINF,402508/2025,12 MESES,12,666692.48
032/2021SEMINF,"contratação de empresa especializada para a execução de serviços de manutenção preventiva, corretiva e emergencial da rede de iluminação pública do município de macaé, com fornecimento de equipamentos, materiais e mão de obra.",Outros,,,2025-12-30T00:00:00Z,2026-12-29T00:00:00Z,Prefeitura Municipal de Macaé,8º Aditivo,Obras e Serviços de Engenharia,02270918/0001-86,Suprema Engenharia Elétrica Ltda,Secretaria Executiva De Serviços Públicos,Concorrência Pública,001/2021SEMINF,12774/2020,12 MESES,12,1.022172703E7
